element_symbol,element_name,type,subtype,class,subclass,biosample_acc,asm_acc,target_acc,start_on_contig,end_on_contig,strand,pct_ref_coverage,pct_ref_identity
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04014966,GCA_002197505.1,PDT000219691.1,53891,54325,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN07291504,GCA_002968495.1,PDT000292900.1,75089,75523,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02138628,GCA_000567425.1,PDT000022759.1,175077,175511,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN38228851,GCA_033726815.1,PDT001986229.1,21755,22189,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN05213495,GCA_001720845.1,PDT000148429.1,22188,22622,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02581240,GCA_000694575.1,PDT000030675.1,21039,21473,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04014970,GCA_002180295.1,PDT000217002.1,132053,132487,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04014880,GCA_001874875.1,PDT000158311.1,73586,74020,-,100.0,93.75
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04448234,GCA_022315915.1,PDT000130447.2,6879,7313,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN29928034,GCA_024580135.1,PDT001381285.1,48728,49162,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN18874688,GCA_019930385.1,PDT001128540.2,41,475,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02356617,GCA_000566825.1,PDT000022730.1,4405,4839,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02581397,GCA_000694535.1,PDT000030673.1,118205,118639,+,100.0,93.75
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02142028,GCA_000406525.1,PDT000016117.2,2893,3327,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN18874781,GCA_019927265.1,PDT001128390.2,27501,27935,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN12738927,GCA_008704045.1,PDT000595117.1,117302,117736,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04014884,GCA_001874715.1,PDT000158309.1,74709,75143,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02138587,GCA_000567645.1,PDT000022769.1,36887,37321,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02142018,GCA_000409085.1,PDT000016140.2,21697,22131,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02581252,GCA_000694755.1,PDT000030684.1,111685,112119,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN18874705,GCA_019930055.1,PDT001128524.2,21750,22184,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04448225,GCA_022315675.1,PDT000130462.2,23952,24386,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02138620,GCA_000567505.1,PDT000022762.1,47042,47476,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02142021,GCA_000417045.1,PDT000015900.2,21695,22129,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02138627,GCA_000567825.1,PDT000022778.1,34533,34967,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02138585,GCA_000567665.1,PDT000022770.1,116660,117094,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN04448224,GCA_021773985.1,PDT001230705.1,21888,22322,+,100.0,93.75
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN18874694,GCA_019930265.1,PDT001128534.2,38497,38931,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN18874725,GCA_019928365.1,PDT001128445.2,40097,40531,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN06546425,GCA_022300135.1,PDT000198415.3,21755,22189,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN06350007,GCA_013180525.1,PDT000751085.1,45509,45943,+,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02141975,GCA_000417545.1,PDT000015902.2,12827,13261,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN02141976,GCA_000417245.1,PDT000015903.2,12827,13261,-,100.0,94.44
pcoE,copper resistance system metallochaperone PcoE,STRESS,METAL,COPPER,COPPER,SAMN06350010,GCA_013180465.1,PDT000751083.1,15537,15971,-,100.0,94.44
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441784,GCA_024720595.1,PDT001395449.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442011,GCA_024714835.1,PDT001395165.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441891,GCA_024717285.1,PDT001395288.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441930,GCA_024716455.1,PDT001395246.2,28328,29518,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441834,GCA_024719585.1,PDT001395399.2,28336,29526,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441987,GCA_024715365.1,PDT001395192.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441986,GCA_024715355.1,PDT001395191.2,64747,65937,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441841,GCA_024719495.1,PDT001395394.2,28213,29403,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441971,GCA_024715725.1,PDT001395211.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441931,GCA_024716515.1,PDT001395249.2,28347,29537,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441893,GCA_024717155.1,PDT001395281.2,23166,24356,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442021,GCA_024714655.1,PDT001395156.2,28333,29523,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441983,GCA_024715395.1,PDT001395193.2,64749,65939,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441850,GCA_024719275.1,PDT001395383.2,28328,29518,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441913,GCA_024716825.1,PDT001395265.2,64758,65948,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442024,GCA_024714615.1,PDT001395154.2,34014,35204,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441781,GCA_024720605.1,PDT001395450.2,34014,35204,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441828,GCA_024719715.1,PDT001395406.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441898,GCA_024717115.1,PDT001395280.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441920,GCA_024716635.1,PDT001395255.2,28276,29466,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441896,GCA_024717215.1,PDT001395284.2,64817,66007,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441904,GCA_024716975.1,PDT001395272.2,23375,24565,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441982,GCA_024715455.1,PDT001395196.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442018,GCA_024714735.1,PDT001395160.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441912,GCA_024716875.1,PDT001395267.2,28347,29537,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441992,GCA_024715195.1,PDT001395183.2,34014,35204,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441996,GCA_024715175.1,PDT001395182.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441838,GCA_024719515.1,PDT001395395.2,28490,29680,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441865,GCA_024718935.1,PDT001395367.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441820,GCA_024719875.1,PDT001395413.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441972,GCA_024715655.1,PDT001395206.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441934,GCA_024716375.1,PDT001395242.2,15710,16900,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441916,GCA_024716755.1,PDT001395261.2,64594,65784,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441944,GCA_024716275.1,PDT001395237.2,33198,34388,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441935,GCA_024716355.1,PDT001395241.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441978,GCA_024715495.1,PDT001395198.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441963,GCA_024715895.1,PDT001395218.2,64758,65948,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441817,GCA_024719925.1,PDT001395416.2,28347,29537,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441885,GCA_024717435.1,PDT001395296.2,28328,29518,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441905,GCA_024717015.1,PDT001395275.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442025,GCA_024714595.1,PDT001395153.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441962,GCA_024715835.1,PDT001395215.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441985,GCA_024715425.1,PDT001395195.2,29323,30513,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441803,GCA_024720245.1,PDT001395432.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441829,GCA_024719695.1,PDT001395404.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441799,GCA_024720295.1,PDT001395434.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441778,GCA_024720725.1,PDT001395456.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441795,GCA_024720385.1,PDT001395438.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441822,GCA_024719815.1,PDT001395410.2,64753,65943,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN09788394,GCA_003969795.1,PDT000425019.1,28341,29534,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441818,GCA_024719915.1,PDT001395415.2,64754,65944,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441876,GCA_024718735.1,PDT001395357.2,87562,88752,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441870,GCA_024718855.1,PDT001395363.2,64751,65941,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442002,GCA_024715055.1,PDT001395176.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442020,GCA_024714695.1,PDT001395158.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441780,GCA_024720675.1,PDT001395453.2,15725,16915,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442007,GCA_024714975.1,PDT001395172.2,28347,29537,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441814,GCA_024719995.1,PDT001395419.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441951,GCA_024716095.1,PDT001395228.2,64731,65921,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442016,GCA_024714765.1,PDT001395162.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441875,GCA_024718755.1,PDT001395358.2,33237,34427,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441888,GCA_024717375.1,PDT001395291.2,165101,166291,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442022,GCA_024714665.1,PDT001395157.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441918,GCA_024716815.1,PDT001395264.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441953,GCA_024715995.1,PDT001395223.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441943,GCA_024716215.1,PDT001395234.2,33196,34386,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441897,GCA_024717195.1,PDT001395283.2,64758,65948,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441877,GCA_024718715.1,PDT001395356.2,64758,65948,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441997,GCA_024715135.1,PDT001395180.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441945,GCA_024716175.1,PDT001395232.2,87549,88739,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441990,GCA_024715325.1,PDT001395189.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441836,GCA_024719575.1,PDT001395398.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN09788352,GCA_003968375.1,PDT000424962.1,65844,67037,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441984,GCA_024715415.1,PDT001395194.2,29320,30510,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441800,GCA_024720235.1,PDT001395431.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441783,GCA_024720655.1,PDT001395452.2,3665,4855,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441966,GCA_024715795.1,PDT001395213.2,25981,27171,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441808,GCA_024720135.1,PDT001395426.2,64758,65948,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441798,GCA_024720315.1,PDT001395435.2,104088,105278,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441925,GCA_024716595.1,PDT001395253.2,64751,65941,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441947,GCA_024716115.1,PDT001395229.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441936,GCA_024716395.1,PDT001395244.2,28333,29523,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441988,GCA_024715315.1,PDT001395190.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441941,GCA_024716305.1,PDT001395239.2,104074,105264,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441915,GCA_024716765.1,PDT001395262.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441952,GCA_024716035.1,PDT001395225.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441977,GCA_024715555.1,PDT001395201.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441880,GCA_024718655.1,PDT001395353.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442013,GCA_024714865.1,PDT001395167.2,28719,29909,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442005,GCA_024714985.1,PDT001395173.2,121503,122693,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441967,GCA_024715695.1,PDT001395208.2,29320,30510,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441895,GCA_024717175.1,PDT001395282.2,28297,29487,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN09788384,GCA_003969355.1,PDT000424996.1,77531,78724,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441956,GCA_024715925.1,PDT001395221.2,28328,29518,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441832,GCA_024719615.1,PDT001395400.2,28333,29523,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442000,GCA_024715095.1,PDT001395178.2,64756,65946,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441779,GCA_024720695.1,PDT001395454.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441946,GCA_024716185.1,PDT001395233.2,64758,65948,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441914,GCA_024716785.1,PDT001395263.2,27485,28675,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441894,GCA_024717255.1,PDT001395286.2,28348,29538,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441900,GCA_024717075.1,PDT001395276.2,28350,29540,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441903,GCA_024717065.1,PDT001395277.2,87574,88764,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441782,GCA_024720615.1,PDT001395451.2,28333,29523,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441928,GCA_024716575.1,PDT001395252.2,64752,65942,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441816,GCA_024719975.1,PDT001395418.2,64757,65947,+,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29441940,GCA_024716255.1,PDT001395236.2,28331,29521,-,100.0,100.0
blaPDC-5,extended-spectrum class C beta-lactamase PDC-5,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,SAMN29442014,GCA_024714815.1,PDT001395164.2,33183,34373,+,100.0,100.0
